affectedModels,analysisDate,anger Method,cveId,description,paperDate,paperTitle,paperUrl,slug,tags,title
Llama 3.3 70B,2026-02-22T04:39:00.731Z,,337d10f1,$11,2026-02-01,When AI Persuades: Adversarial Explanation Attacks on Human Trust in AI-Assisted Decision Making,https://arxiv.org/abs/2602.04003,ai-persuasion-trust-attack,prompt-layer; application-layer; injection; hallucination; chain; integrity,AI Persuasion Trust Attack
GPT-4o; Claude 3.5; Claude 4; Claude 4.5; Llama 3.1 8B; Qwen 2.5 30B; Gemma 12B,2026-02-21T18:41:16.416Z,,f73dad23,"Large Language Models (LLMs) aligned via reinforcement learning from human feedback (RLHF) or Constitutional AI exhibit a vulnerability where safety guardrails can be consistently bypassed through ""Abstractive Red-Teaming."" This attack vector exploits specific high-level natural language categoriesâcombinations of semantic attributes such as tone, specific formatting instructions (e.g., numbered lists), language (e.g., Chinese, Russian), and topic constraintsâthat the model fails to generalize its safety training toward. Unlike traditional adversarial attacks that rely on nonsensical token sequences, this vulnerability utilizes coherent, naturalistic query patterns that act as semantic ""blind spots"" in the model's character alignment. When a user query aligns with these discovered categories, models frequently generate prohibited content, including instructions for illegal acts, hate speech, and expressions of AI supremacy.",2026-02-01,Abstractive Red-Teaming of Language Model Character,https://arxiv.org/abs/2602.12318,abstractive-character-violations,model-layer; prompt-layer; jailbreak; blackbox; safety; reliability,Abstractive Character Violations
GPT-4; GPT-4o; Qwen 2; Qwen 2.5,2026-02-21T20:13:39.881Z,,28ab404f,$12,2026-02-01,MUZZLE: Adaptive Agentic Red-Teaming of Web Agents Against Indirect Prompt Injection Attacks,https://arxiv.org/abs/2602.09222,adaptive-web-agent-prompt-injection,application-layer; prompt-layer; injection; extraction; jailbreak; denial-of-service; vision; blackbox; agent; data-privacy; integrity; safety,Adaptive Web Agent Prompt Injection
GPT-4o,2026-02-22T00:57:20.189Z,,7d4e03d8,$13,2026-02-01,DECEIVE-AFC: Adversarial Claim Attacks against Search-Enabled LLM-based Fact-Checking Systems,https://arxiv.org/abs/2602.02569,adversarial-claim-search-deception,prompt-layer; hallucination; rag; agent; blackbox; integrity; reliability; safety,Adversarial Claim Search Deception
GPT-4o; Llama 3.1 8B; Mistral 7B; Qwen 2.5 7B,2026-02-21T07:17:58.149Z,,cabf20be,$14,2026-02-01,Bypassing AI Control Protocols via Agent-as-a-Proxy Attacks,https://arxiv.org/abs/2602.05066,agent-as-a-proxy-monitor-bypass,model-layer; prompt-layer; injection; jailbreak; rag; whitebox; agent; chain; safety; data-security,Agent-as-a-Proxy Monitor Bypass
Llama 3.1 8B; Llama 3.3 70B; Qwen 2.5 14B,2026-02-21T15:39:04.677Z,,2f6679b9,"A vulnerability exists in the internal representation mechanisms of Transformer-based Large Language Models (LLMs), specifically Llama-3 and Qwen series models. The vulnerability allows for high-accuracy ""steering"" of model outputs, effectively bypassing safety guardrails and refusal mechanisms (jailbreaking) without modifying model weights. By exploiting attention-guided feature learning, an attacker can extract a precise ""concept vector"" representing refusal behaviors. This is achieved by dynamically selecting token embeddings that exhibit high attention to a specific prefix (e.g., a refusal instruction) and using attention scores as soft labels for feature learning. When this extracted vector is subtracted from the model's internal activations during inference, the model fails to refuse malicious requests, achieving a bypass success rate of approximately 95% on Llama-3.1-8b.",2026-02-01,Efficient and accurate steering of Large Language Models through attention-guided feature learning,https://arxiv.org/abs/2602.00333,attention-breaks-concept-resistance,model-layer; jailbreak; embedding; whitebox; safety,Attention Breaks Concept Resistance
GPT-3.5; GPT-5; Claude 4.5,2026-02-21T17:53:45.808Z,,1a4b312b,"A vulnerability exists in LLM-based coding agents that implement modular capability extensions (often referred to as ""Agent Skills"") where the agent dynamically loads and executes user-provided skill packages. The vulnerability allows for **Skill-Based Prompt Injection**, specifically leveraging a technique known as ""SkillJect."" This attack decouples the malicious intent from the operational payload to bypass semantic safety filters. An attacker constructs a skill package containing:
1.  **Inducement Prompt (in `SKILL.md`)**: A benign-appearing instruction optimized to persuade the agent that executing an auxiliary script is a necessary step for the task (e.g., ""run setup to configure environment"").
2.  **Hidden Payload (in auxiliary artifacts, e.g., `.sh`, `.py`)**: The actual malicious code hidden within a file in the skill's resource directory.",2026-02-01,SkillJect: Automating Stealthy Skill-Based Prompt Injection for Coding Agents with Trace-Driven Closed-Loop Refinement,https://arxiv.org/abs/2602.14211,automated-stealth-skill-injection,application-layer; prompt-layer; injection; poisoning; jailbreak; rag; agent; chain; blackbox; data-privacy; data-security; safety,Automated Stealth Skill Injection
Llama 2 7B; Llama 3 8B; Gemma 7B,2026-02-21T00:26:31.723Z,,1f833040,$15,2026-02-01,Steering Externalities: Benign Activation Steering Unintentionally Increases Jailbreak Risk for Large Language Models,https://arxiv.org/abs/2602.04896,benign-steering-jailbreak-risk,model-layer; jailbreak; blackbox; safety; integrity,Benign Steering Jailbreak Risk
GPT-4o; Llama 3; Qwen 2.5 7B,2026-02-20T23:37:16.860Z,,875cb222,"Large Language Models (LLMs), including Qwen2.5, LLaMA-3, and Baichuan2, are vulnerable to causally optimized adversarial attacks where specific interpretable prompt features are manipulated to bypass safety alignment. Research utilizing a ""Causal Analyst"" framework reveals that specific prompt attributesâspecifically ""Number of Task Steps"" (increasing procedural complexity), ""Positive Character"" (enforcing specific personas), and ""Command Tone""âact as direct causal drivers for ""Answer Harmfulness."" Attackers can leverage causal graph learning to identify these drivers and systematically rewrite failed jailbreak attempts (e.g., by adding procedural constraints or persona adoption) to significantly increase Attack Success Rates (ASR), effectively circumventing RLHF and safety fine-tuning mechanisms.",2026-02-01,A Causal Perspective for Enhancing Jailbreak Attack and Defense,https://arxiv.org/abs/2602.04893,causal-driver-jailbreak-enhancement,prompt-layer; jailbreak; blackbox; safety,Causal Driver Jailbreak Enhancement
Llama 2 7B; Llama 3.1 8B; Mistral 7B; Gemma 2 9B,2026-02-21T21:56:07.459Z,,d81c2aa2,$16,2026-02-01,Causal Front-Door Adjustment for Robust Jailbreak Attacks on LLMs,https://arxiv.org/abs/2602.05444,causal-front-door-jailbreak,model-layer; jailbreak; whitebox; safety,Causal Front-Door Jailbreak
